saleid|itemid|customerid|storeid|time|qty|pricerange
220|114|112|31|22|44|expensive
672|101|59|46|67|4|moderate
523|93|2|10|3|9|moderate
163|90|2|25|7|24|outrageous
443|103|78|64|67|49|outrageous
285|92|59|9|67|18|outrageous
484|107|66|96|67|33|supercheap 
825|112|59|10|67|24|outrageous
90|84|51|27|43|8|outrageous
253|106|126|13|67|39|outrageous
988|129|196|72|67|22|outrageous
667|133|39|30|67|26|outrageous
181|114|2|48|67|49|outrageous
840|85|2|31|44|23|cheap
147|81|2|4|92|11|outrageous
566|113|20|49|67|41|outrageous
67|67|69|25|61|31|outrageous
627|93|2|15|67|44|supercheap 
58|70|2|64|67|1|outrageous
56|74|2|77|67|40|outrageous
916|75|59|65|100|11|outrageous
316|95|2|88|67|12|outrageous
797|69|185|21|67|23|outrageous
213|120|20|90|67|5|expensive
422|86|161|36|67|26|expensive
851|85|156|37|70|19|outrageous
421|103|2|7|22|36|supercheap 
976|114|2|44|51|3|outrageous
802|102|86|34|51|50|outrageous
103|98|59|15|61|40|outrageous
474|133|59|42|67|7|outrageous
520|95|23|70|67|19|moderate
427|78|2|43|67|5|outrageous
107|119|2|18|67|1|supercheap 
5|93|59|11|67|12|outrageous
241|99|102|37|67|50|supercheap 
593|189|59|15|31|47|outrageous
821|107|2|51|67|39|moderate
591|103|43|62|48|35|expensive
714|107|159|74|100|9|outrageous
74|64|166|47|54|1|outrageous
134|81|56|42|53|49|outrageous
21|137|195|74|37|13|outrageous
700|68|2|37|92|23|outrageous
215|88|57|68|67|49|outrageous
788|190|48|5|22|12|outrageous
805|110|59|51|67|48|outrageous
686|86|156|37|70|49|outrageous
371|62|33|23|67|7|outrageous
442|110|51|20|67|49|outrageous
835|117|197|50|67|33|supercheap 
254|90|130|7|48|46|outrageous
815|149|184|92|67|23|supercheap 
766|69|59|14|67|35|outrageous
960|91|121|100|3|9|outrageous
668|132|2|98|48|47|outrageous
609|90|166|72|67|21|supercheap 
340|72|190|59|67|23|moderate
75|99|2|90|28|1|expensive
360|90|185|72|67|6|outrageous
540|77|2|26|61|47|outrageous
957|124|141|53|67|38|outrageous
192|83|59|38|46|14|expensive
4|121|2|52|67|6|outrageous
849|91|21|43|61|48|outrageous
238|166|2|56|67|48|outrageous
904|94|2|72|49|1|outrageous
736|92|59|64|67|37|outrageous
33|112|59|99|67|30|outrageous
762|106|2|30|67|25|outrageous
17|90|102|4|28|40|outrageous
366|63|38|52|92|23|supercheap 
267|98|17|47|67|38|outrageous
886|84|2|58|67|24|outrageous
47|192|66|82|67|32|expensive
20|78|130|2|67|30|outrageous
863|85|25|19|46|10|expensive
597|108|59|53|67|23|outrageous
949|135|168|55|80|17|outrageous
721|130|2|74|67|5|outrageous
709|120|25|23|12|45|supercheap 
35|126|175|32|67|10|moderate
860|81|47|36|61|15|supercheap 
362|87|40|39|49|22|cheap
799|89|80|88|77|48|outrageous
575|106|2|9|67|21|outrageous
337|72|102|6|1|40|outrageous
704|63|59|86|49|47|outrageous
471|127|2|85|67|21|outrageous
979|50|168|6|49|31|outrageous
792|97|126|82|31|40|moderate
516|109|75|59|83|33|outrageous
551|107|79|11|76|47|outrageous
777|85|131|20|67|45|expensive
376|115|2|35|51|28|outrageous
501|99|2|62|67|2|outrageous
632|93|197|5|67|10|outrageous
438|110|2|48|61|10|outrageous
715|133|2|52|61|9|outrageous
413|92|82|96|99|15|expensive
214|137|2|4|43|45|outrageous
470|74|2|65|54|45|outrageous
166|70|2|76|67|38|expensive
749|77|163|48|3|41|outrageous
414|105|2|87|53|33|outrageous
276|120|59|46|67|4|outrageous
78|105|2|5|90|47|expensive
243|137|180|83|91|27|outrageous
965|88|5|7|71|39|supercheap 
937|119|57|37|58|49|outrageous
481|87|2|21|67|26|outrageous
770|83|23|86|67|22|outrageous
3|135|2|51|46|37|expensive
928|104|1|73|67|10|outrageous
245|86|96|25|5|50|outrageous
390|117|110|69|51|15|outrageous
121|111|2|89|61|13|outrageous
429|83|79|81|67|3|cheap
525|82|166|23|51|16|outrageous
760|110|2|20|32|28|outrageous
493|78|104|32|46|10|outrageous
22|74|2|8|67|35|outrageous
116|129|200|5|66|6|outrageous
23|77|2|14|67|12|outrageous
114|82|102|63|67|19|moderate
308|111|59|96|67|25|outrageous
752|90|92|62|67|29|moderate
19|61|47|97|67|47|outrageous
634|121|2|48|32|1|cheap
439|128|15|52|67|14|outrageous
926|98|2|19|27|39|supercheap 
411|102|59|55|46|3|moderate
648|82|5|3|67|47|outrageous
298|136|2|58|67|41|expensive
288|46|2|95|67|26|outrageous
169|133|59|76|54|29|outrageous
600|112|36|66|93|31|outrageous
231|68|2|88|67|5|expensive
561|76|102|98|82|16|outrageous
478|140|2|72|52|35|outrageous
619|123|46|38|49|38|expensive
626|145|131|59|67|24|outrageous
678|65|107|73|37|49|outrageous
402|116|59|47|57|33|outrageous
806|83|185|49|98|50|supercheap 
684|95|22|24|41|28|moderate
961|84|139|29|67|40|outrageous
622|111|25|60|61|15|outrageous
330|103|130|94|69|11|outrageous
507|118|25|54|46|27|outrageous
164|86|50|65|67|35|outrageous
650|92|195|91|84|15|expensive
178|94|2|23|22|49|outrageous
971|119|2|96|49|33|outrageous
862|122|59|66|67|29|outrageous
764|86|2|41|24|8|outrageous
252|137|180|33|67|38|outrageous
952|136|59|41|30|7|outrageous
739|70|2|11|67|47|outrageous
559|11|2|88|67|3|supercheap 
896|77|130|85|67|35|outrageous
637|68|195|84|67|37|outrageous
853|65|102|72|67|31|supercheap 
314|84|2|95|64|41|outrageous
173|100|2|43|8|20|outrageous
768|61|59|4|16|36|outrageous
374|106|65|41|46|1|outrageous
956|113|2|37|67|36|cheap
45|133|2|63|49|23|outrageous
365|121|2|34|49|3|outrageous
923|94|200|13|98|7|outrageous
157|102|2|56|67|44|moderate
589|115|130|10|67|42|outrageous
737|140|2|18|7|45|outrageous
503|95|2|11|54|26|outrageous
651|105|159|80|92|27|outrageous
100|127|47|28|67|36|outrageous
320|70|196|70|13|18|outrageous
38|97|2|33|67|2|moderate
323|66|107|15|62|5|outrageous
398|82|2|41|3|27|outrageous
864|119|12|38|67|49|outrageous
577|82|2|61|67|49|outrageous
640|89|2|11|67|7|cheap
978|83|174|19|65|45|outrageous
269|70|59|27|67|11|expensive
462|85|130|98|89|38|outrageous
261|107|25|70|67|10|outrageous
40|83|2|100|2|2|expensive
92|124|2|36|22|16|expensive
612|115|2|64|69|46|moderate
866|117|39|2|67|8|outrageous
859|96|170|62|67|17|outrageous
117|134|50|23|67|41|outrageous
531|110|2|53|9|23|expensive
663|100|59|12|61|16|outrageous
125|114|59|59|67|12|outrageous
831|122|140|23|67|50|moderate
625|116|25|58|68|29|expensive
44|109|72|44|67|26|outrageous
833|91|2|93|67|32|outrageous
865|72|8|45|30|37|outrageous
190|98|161|42|67|47|outrageous
236|136|51|54|67|19|outrageous
271|8|47|14|46|30|cheap
910|115|2|1|49|29|outrageous
283|108|102|76|67|2|outrageous
392|106|144|61|13|26|outrageous
165|124|138|64|39|22|outrageous
901|117|1|30|85|19|moderate
995|93|125|35|51|5|outrageous
963|70|2|96|67|7|outrageous
549|139|2|34|67|11|moderate
416|105|24|43|67|28|outrageous
183|95|162|82|67|36|outrageous
775|113|2|95|67|49|outrageous
733|98|56|9|67|45|moderate
232|119|2|94|60|21|cheap
327|117|122|4|67|7|outrageous
987|86|154|19|61|6|outrageous
175|76|51|37|31|7|outrageous
878|108|2|9|67|37|outrageous
234|85|59|77|40|46|cheap
368|61|2|25|67|21|moderate
839|105|2|24|65|20|expensive
407|114|59|100|67|5|outrageous
874|112|2|16|67|14|outrageous
539|122|51|32|67|26|moderate
68|116|185|73|67|46|outrageous
861|84|59|93|90|13|outrageous
317|110|2|13|67|44|cheap
96|104|107|69|67|14|outrageous
409|110|2|38|97|29|outrageous
12|115|2|44|11|14|expensive
95|117|2|67|79|17|expensive
846|121|2|14|67|11|outrageous
511|130|2|90|67|26|outrageous
196|89|2|2|67|3|outrageous
406|96|2|3|49|13|outrageous
791|92|59|58|78|43|outrageous
281|75|2|58|96|32|outrageous
418|156|2|71|8|44|supercheap 
170|88|121|57|67|1|outrageous
548|113|153|88|3|34|outrageous
550|76|36|50|38|48|expensive
992|83|2|60|67|45|expensive
480|107|2|85|67|45|expensive
315|92|21|23|61|31|expensive
596|113|2|61|66|10|supercheap 
913|103|2|87|67|27|cheap
543|93|59|42|67|12|cheap
495|101|59|65|67|31|outrageous
610|121|2|32|67|8|outrageous
696|134|2|65|48|5|supercheap 
826|121|2|55|67|15|outrageous
818|103|140|14|70|24|supercheap 
109|118|47|62|2|32|outrageous
30|110|174|14|67|25|outrageous
674|117|2|55|54|28|outrageous
11|85|59|74|67|31|supercheap 
773|116|2|90|67|45|outrageous
842|118|2|69|67|2|outrageous
62|131|25|68|63|40|outrageous
607|150|48|91|46|8|supercheap 
412|38|2|32|69|44|cheap
514|95|2|47|67|8|outrageous
918|135|2|20|67|43|outrageous
707|56|102|51|67|23|outrageous
186|91|59|50|67|18|outrageous
48|91|2|44|67|48|outrageous
814|101|2|45|49|41|outrageous
726|96|2|34|67|42|outrageous
297|112|42|26|67|25|moderate
313|117|2|100|67|14|supercheap 
579|104|185|8|22|37|outrageous
824|115|182|24|84|41|cheap
664|83|2|19|63|7|outrageous
176|171|25|32|67|8|expensive
419|65|2|32|67|16|outrageous
54|119|2|74|67|47|supercheap 
941|98|9|2|67|46|moderate
88|96|59|41|67|25|expensive
77|123|2|87|17|8|cheap
94|83|165|73|67|17|outrageous
505|131|130|24|67|1|outrageous
959|81|2|49|3|36|outrageous
347|125|159|79|67|2|outrageous
533|108|59|78|67|44|outrageous
167|86|47|7|66|37|outrageous
567|95|2|75|67|21|cheap
351|103|2|41|52|7|supercheap 
646|117|2|10|67|1|outrageous
260|88|25|68|49|48|expensive
10|98|102|93|46|15|outrageous
338|97|199|96|80|46|outrageous
677|128|2|59|67|48|supercheap 
219|85|2|15|63|16|outrageous
780|177|178|98|67|27|outrageous
968|103|59|40|61|21|outrageous
401|96|191|28|77|35|moderate
423|107|5|72|67|13|outrageous
141|93|2|1|76|18|outrageous
15|89|23|39|67|31|outrageous
394|128|70|38|67|46|expensive
60|69|24|23|31|18|outrageous
437|119|2|9|43|31|cheap
838|99|2|53|61|35|moderate
224|134|182|31|9|8|outrageous
455|80|2|24|61|9|expensive
84|77|54|73|90|41|expensive
974|131|166|71|46|37|supercheap 
46|107|2|33|6|3|cheap
391|98|2|84|69|23|expensive
53|116|2|28|94|42|outrageous
513|133|167|21|61|40|outrageous
914|84|2|71|46|47|cheap
465|83|2|88|46|23|outrageous
757|88|51|3|67|1|supercheap 
279|99|2|63|67|24|outrageous
897|113|59|74|60|46|outrageous
869|131|2|32|68|43|outrageous
87|110|59|18|85|6|outrageous
52|113|47|65|61|31|outrageous
527|79|2|59|49|24|outrageous
257|97|2|91|48|42|outrageous
498|115|51|14|49|32|expensive
86|71|154|1|67|22|moderate
703|82|2|64|67|33|cheap
855|132|140|24|67|3|cheap
499|95|2|82|67|7|expensive
718|120|2|98|55|40|outrageous
250|135|2|73|87|31|outrageous
635|103|25|40|61|12|outrageous
293|134|105|69|67|29|outrageous
278|101|2|30|67|9|outrageous
126|118|2|6|61|34|outrageous
725|90|186|52|67|34|expensive
130|70|2|72|69|48|supercheap 
638|108|156|45|46|27|supercheap 
578|97|117|89|67|37|moderate
989|99|2|81|61|50|outrageous
925|107|2|94|63|43|outrageous
201|94|2|68|67|48|outrageous
665|135|102|25|46|26|cheap
786|119|2|94|67|28|supercheap 
980|93|8|32|29|21|moderate
207|114|2|78|41|42|cheap
828|108|2|92|73|13|moderate
265|101|1|4|67|35|moderate
617|103|51|56|67|8|outrageous
754|106|166|100|67|16|moderate
875|83|59|56|59|20|outrageous
179|122|146|65|67|5|expensive
341|129|59|49|67|23|moderate
883|83|74|24|67|14|moderate
830|116|63|49|67|45|outrageous
66|113|47|16|17|47|outrageous
296|115|74|75|49|10|outrageous
884|103|81|22|53|6|outrageous
529|103|133|28|69|4|supercheap 
586|133|57|82|80|35|outrageous
720|48|47|61|67|26|outrageous
562|89|21|15|78|3|outrageous
449|100|59|66|54|48|cheap
479|112|2|67|67|50|supercheap 
468|110|102|75|69|13|expensive
990|116|57|48|46|42|outrageous
798|143|155|81|46|31|outrageous
39|98|22|84|100|45|cheap
867|94|150|26|67|9|moderate
389|127|2|92|67|18|moderate
546|193|130|16|84|14|cheap
191|96|59|63|49|8|outrageous
601|106|47|21|67|48|supercheap 
958|67|2|16|22|6|supercheap 
41|111|2|6|67|48|outrageous
741|120|51|60|67|24|outrageous
977|111|2|31|48|12|outrageous
434|73|59|10|67|8|supercheap 
115|88|59|33|67|21|cheap
343|102|59|95|67|27|outrageous
537|114|2|51|67|8|outrageous
608|74|174|41|55|43|supercheap 
73|129|2|99|80|20|outrageous
581|133|200|18|49|16|supercheap 
676|110|167|13|67|41|outrageous
927|118|2|88|67|20|outrageous
680|85|2|81|54|48|outrageous
649|74|2|12|67|17|outrageous
877|81|161|52|26|16|moderate
333|95|189|43|67|24|outrageous
379|84|8|7|67|28|outrageous
666|107|59|14|93|47|outrageous
728|160|185|69|3|46|moderate
444|136|2|42|3|44|cheap
948|81|25|78|67|30|expensive
922|124|74|79|96|48|outrageous
111|118|56|89|79|4|outrageous
326|91|2|95|67|5|outrageous
587|116|105|55|22|24|expensive
208|90|2|41|22|43|outrageous
136|80|2|61|67|42|outrageous
221|79|2|92|100|25|outrageous
85|112|166|53|67|41|supercheap 
102|80|85|78|67|21|outrageous
962|101|2|54|67|14|supercheap 
902|116|2|65|67|6|outrageous
277|88|2|67|63|17|outrageous
857|86|2|46|67|1|outrageous
573|101|169|86|69|26|expensive
836|102|2|93|49|31|cheap
143|110|2|1|67|33|cheap
1|117|71|24|67|6|outrageous
475|64|2|60|49|25|outrageous
598|81|59|44|67|11|outrageous
476|86|2|11|67|14|outrageous
953|92|186|64|49|40|outrageous
528|69|2|26|55|24|outrageous
334|102|76|78|49|43|outrageous
621|102|2|70|61|44|cheap
132|97|2|97|48|5|outrageous
361|88|141|92|67|13|expensive
291|105|102|97|71|32|supercheap 
168|125|183|69|49|38|outrageous
274|105|43|54|67|2|cheap
405|122|76|26|80|37|outrageous
459|129|117|42|87|28|outrageous
359|116|2|47|30|38|outrageous
348|95|2|77|67|2|outrageous
123|95|19|87|67|49|outrageous
381|66|185|9|67|11|outrageous
789|86|2|92|67|25|outrageous
727|114|2|49|27|18|outrageous
372|104|21|63|67|40|outrageous
335|108|47|79|67|26|outrageous
400|88|2|9|46|33|outrageous
318|87|161|27|67|17|outrageous
287|66|146|8|51|22|cheap
447|106|2|48|67|45|outrageous
235|100|161|82|67|22|outrageous
812|111|2|13|67|29|outrageous
388|108|116|8|67|27|outrageous
275|102|2|29|67|32|outrageous
485|99|2|67|67|2|outrageous
998|81|85|91|51|14|supercheap 
155|106|25|70|67|10|outrageous
386|115|2|64|46|22|outrageous
311|109|130|52|67|34|expensive
397|108|2|65|67|32|cheap
489|114|2|72|67|38|outrageous
615|34|179|45|84|15|outrageous
509|134|183|69|49|11|outrageous
504|95|59|93|67|34|outrageous
101|105|2|9|74|28|expensive
93|77|167|31|58|31|moderate
794|137|2|76|67|27|outrageous
981|101|59|54|67|48|supercheap 
2|116|2|21|67|36|outrageous
724|116|130|92|14|22|expensive
395|180|146|59|99|6|outrageous
823|87|59|82|54|15|outrageous
947|102|26|44|30|1|outrageous
892|125|25|15|67|5|moderate
403|81|75|28|67|37|outrageous
441|139|10|7|67|22|outrageous
912|108|2|16|66|12|supercheap 
924|115|102|95|67|12|expensive
679|103|2|33|67|21|outrageous
294|105|2|12|67|36|moderate
212|103|2|39|67|49|outrageous
364|107|21|10|67|37|outrageous
767|109|42|57|37|17|supercheap 
748|102|29|17|67|13|moderate
776|121|2|19|67|17|expensive
144|119|59|67|18|23|outrageous
110|87|2|12|67|50|supercheap 
336|132|185|96|67|41|outrageous
898|107|161|11|59|32|expensive
734|102|2|97|67|44|expensive
661|116|25|74|67|35|outrageous
71|73|2|95|24|22|outrageous
494|97|2|20|67|9|cheap
159|91|162|79|67|37|outrageous
500|94|2|29|67|40|cheap
781|108|200|50|67|44|outrageous
420|120|130|70|67|2|expensive
149|103|2|23|67|2|cheap
300|164|162|68|46|49|cheap
705|123|2|1|49|2|expensive
950|98|2|7|67|29|outrageous
242|126|2|44|8|3|outrageous
510|87|47|38|89|4|cheap
205|119|155|26|88|1|outrageous
756|93|33|91|67|42|outrageous
800|67|2|84|67|1|outrageous
837|109|189|38|67|8|outrageous
856|81|2|25|67|10|expensive
844|133|74|32|67|32|moderate
975|7|167|19|63|9|outrageous
436|96|2|18|67|3|outrageous
367|85|2|71|46|8|cheap
722|125|103|80|42|16|outrageous
730|67|51|24|67|13|outrageous
171|115|2|80|67|18|outrageous
641|111|2|10|67|34|outrageous
42|98|2|32|67|30|outrageous
740|96|73|95|67|8|outrageous
483|31|2|24|59|17|outrageous
197|97|81|13|67|40|cheap
811|119|59|36|67|25|cheap
592|116|2|86|67|43|outrageous
983|88|106|21|67|50|moderate
380|130|157|52|50|24|outrageous
148|81|77|96|6|4|outrageous
599|67|2|75|67|27|outrageous
464|83|2|15|67|10|cheap
280|85|127|75|67|43|outrageous
746|136|2|61|57|7|cheap
698|121|185|62|5|8|supercheap 
653|63|60|19|31|39|outrageous
669|124|2|24|46|34|outrageous
986|113|59|19|3|28|outrageous
735|84|65|89|67|1|outrageous
249|114|2|21|67|26|outrageous
742|79|2|7|87|29|expensive
428|114|51|29|42|15|outrageous
76|70|2|77|67|41|expensive
660|81|74|60|4|46|cheap
967|99|2|54|40|46|outrageous
124|84|2|92|67|10|outrageous
787|69|142|2|67|14|cheap
755|100|174|89|85|37|outrageous
139|115|97|34|67|17|expensive
810|96|149|88|67|31|outrageous
994|88|59|32|67|23|outrageous
681|82|59|21|67|27|outrageous
301|88|2|2|67|24|outrageous
433|105|2|100|67|6|moderate
595|111|2|33|67|16|outrageous
194|99|130|29|67|4|outrageous
606|90|2|8|67|15|supercheap 
79|107|170|69|49|13|outrageous
535|141|97|33|38|42|outrageous
919|86|59|21|67|7|outrageous
552|122|2|88|67|21|outrageous
580|65|2|91|48|34|outrageous
408|88|69|23|67|29|expensive
18|62|76|8|61|38|cheap
879|96|2|79|13|43|outrageous
290|84|74|30|67|41|supercheap 
907|87|2|79|67|47|expensive
82|89|2|98|3|44|outrageous
758|62|59|99|67|35|outrageous
744|95|118|58|67|4|supercheap 
743|89|102|81|37|50|outrageous
716|92|56|72|91|39|outrageous
99|114|52|31|67|40|outrageous
69|73|2|60|67|34|outrageous
322|98|2|26|67|47|expensive
448|4|2|39|67|22|outrageous
819|95|25|1|7|1|outrageous
695|119|2|13|67|18|supercheap 
307|130|25|37|76|16|outrageous
119|95|51|76|67|8|expensive
27|118|2|25|1|46|outrageous
751|83|25|82|96|27|outrageous
557|94|2|84|67|10|cheap
816|108|2|34|83|18|expensive
13|86|2|35|67|7|outrageous
943|30|198|12|67|20|outrageous
808|74|25|2|61|34|outrageous
258|108|2|66|67|33|outrageous
785|113|25|82|29|35|supercheap 
302|102|2|24|67|16|expensive
195|83|80|41|67|15|outrageous
354|110|88|9|64|5|outrageous
440|136|2|72|67|23|expensive
955|124|2|54|82|36|expensive
582|172|56|66|80|42|outrageous
198|107|42|58|67|33|cheap
903|108|155|89|99|12|outrageous
779|113|191|21|84|21|moderate
34|118|2|97|67|38|supercheap 
431|65|181|84|3|12|moderate
691|118|2|5|67|19|outrageous
140|86|2|63|49|27|outrageous
565|85|195|30|67|2|outrageous
180|95|2|56|67|15|outrageous
795|107|2|84|67|18|outrageous
850|110|130|50|67|21|outrageous
6|117|2|92|45|30|outrageous
63|86|2|18|100|11|outrageous
211|94|138|53|87|26|outrageous
719|91|2|20|67|43|outrageous
156|63|59|88|46|36|outrageous
613|95|185|57|67|16|outrageous
763|137|2|5|46|26|outrageous
29|121|47|71|67|30|expensive
91|98|2|19|67|9|outrageous
731|91|57|17|46|41|outrageous
482|139|174|40|87|24|outrageous
310|131|2|88|30|32|outrageous
304|106|195|97|67|49|supercheap 
644|95|22|73|67|43|outrageous
373|93|130|7|87|16|outrageous
342|143|130|97|49|28|outrageous
377|105|145|78|8|33|outrageous
895|114|2|25|80|29|outrageous
262|97|2|30|3|3|outrageous
43|116|179|54|87|5|outrageous
881|126|50|89|92|12|outrageous
827|117|56|96|67|16|outrageous
324|108|2|79|67|31|outrageous
1000|66|2|41|67|25|outrageous
512|118|2|83|46|2|cheap
906|93|130|28|99|20|moderate
202|87|2|22|67|30|outrageous
530|110|182|33|67|11|moderate
900|117|2|79|95|37|outrageous
809|74|2|86|67|47|expensive
135|115|25|51|69|20|expensive
774|109|4|61|67|24|outrageous
488|93|17|75|67|37|cheap
150|61|185|24|67|40|outrageous
524|117|130|39|67|46|expensive
9|77|59|40|67|20|outrageous
917|104|2|58|71|39|outrageous
643|138|121|87|67|19|outrageous
882|90|21|100|67|32|outrageous
89|95|2|26|49|3|outrageous
172|63|182|87|34|39|cheap
706|114|5|5|67|19|outrageous
954|120|47|76|67|39|cheap
993|133|2|76|67|44|outrageous
712|75|2|95|14|46|supercheap 
138|98|59|3|51|2|outrageous
289|16|2|95|92|2|cheap
445|81|175|51|61|25|outrageous
432|108|2|72|67|40|moderate
145|105|159|6|67|40|moderate
118|113|2|58|67|24|supercheap 
248|83|2|9|23|37|outrageous
848|119|93|12|61|3|expensive
65|99|2|7|67|33|expensive
938|62|2|74|67|35|supercheap 
522|94|2|88|55|14|expensive
629|134|59|13|98|43|cheap
216|117|59|73|49|43|expensive
771|90|156|38|67|19|expensive
185|76|2|18|36|49|moderate
328|107|2|42|66|20|supercheap 
127|138|2|68|67|13|outrageous
858|81|6|22|76|41|expensive
841|132|51|57|66|49|outrageous
697|91|2|24|67|41|outrageous
31|94|126|78|67|50|outrageous
654|78|2|81|6|32|cheap
574|133|197|46|67|28|outrageous
854|89|2|73|62|33|outrageous
876|91|80|40|67|50|supercheap 
508|119|59|56|67|25|outrageous
671|100|130|38|67|33|cheap
662|112|16|27|67|1|outrageous
985|105|2|5|69|22|moderate
701|119|2|72|87|13|moderate
964|72|2|25|67|5|expensive
723|139|102|90|67|25|outrageous
